ID_Cliente,Edad,Género,Ítem_Comprado,Categoría,Cantidad_Pagada (dólares),Ubicación,Talla,Color,Temporada,Calificación_Reseña,Suscripción,Tipo_Envío,Descuento,Compras_Anteriores,Tipo_Pago,Frecuencia_Compra
41,69,Masculino,Bolso,Accesorios,"$76,00",Louisiana,L,Beige,Invierno,"4,6",Sí,Entrega al día siguiente,Sí,31,Tarjeta de débito,Trimestral
42,67,Masculino,Bufanda,Accesorios,"$39,00",Alaska,M,Naranja,Primavera,"4,5",Sí,Estándar,Sí,40,Venmo,Anualmente
43,20,Masculino,Abrigo,Ropa de abrigo,"$100,00",Tennessee,M,Beige,Primavera,"4,1",Sí,Envío gratis,Sí,15,PayPal,Anualmente
44,25,Masculino,Bufanda,Accesorios,"$69,00",Ohio,L,Lavanda,Otoño,"3,7",Sí,Recogida en tienda,Sí,19,PayPal,Quincenal
45,39,Masculino,Sombrero,Accesorios,"$53,00",Kentucky,S,Plata,Verano,"4,6",Sí,Envío gratis,Sí,45,PayPal,Semanalmente
46,50,Masculino,Medias,Ropa,"$21,00",Tennessee,XL,Índigo,Otoño,"2,9",Sí,Envío en 2 días,Sí,25,PayPal,Anualmente
47,57,Masculino,Camisa,Ropa,"$43,00",California,L,Blanco,Verano,"2,9",Sí,Recogida en tienda,Sí,45,Dinero,Trimestral
48,55,Masculino,Joyas,Accesorios,"$54,00",Montana,M,Carbón,Invierno,"4,5",Sí,Envío gratis,Sí,36,Dinero,Semanalmente
49,42,Masculino,Camisa,Ropa,"$55,00",Nevada,M,Naranja,Verano,"2,7",Sí,Recogida en tienda,Sí,38,Dinero,Mensual
50,68,Masculino,Sudadera,Ropa,"$30,00",New Jersey,S,Índigo,Primavera,"4,6",Sí,Entrega al día siguiente,Sí,34,Tarjeta de débito,Quincenal
51,49,Masculino,Blusa,Ropa,"$28,00",Maryland,M,Rojo,Primavera,"3,7",Sí,Recogida en tienda,Sí,39,Tarjeta de débito,Quincenal
52,59,Masculino,Falda,Ropa,"$59,00",Vermont,XL,Gris,Invierno,"4,7",Sí,Envío en 2 días,Sí,7,Tarjeta de crédito,Trimestral
53,42,Masculino,Camiseta,Ropa,"$20,00",Alaska,M,Verde,Verano,"2,6",Sí,Envío gratis,Sí,26,Tarjeta de crédito,Semanalmente
54,29,Masculino,Falda,Ropa,"$24,00",Mississippi,S,Durazno,Invierno,"3,9",Sí,Entrega al día siguiente,Sí,35,Tarjeta de crédito,Semanalmente
55,47,Masculino,Abrigo,Ropa de abrigo,"$94,00",New Mexico,M,Marrón,Verano,"4,2",Sí,Entrega al día siguiente,Sí,35,Tarjeta de débito,Quincenal
56,40,Masculino,Chaqueta,Ropa de abrigo,"$28,00",South Carolina,M,Lavanda,Invierno,"3,0",Sí,Envío en 2 días,Sí,49,Tarjeta de crédito,Anualmente
57,41,Masculino,Mochila,Accesorios,"$73,00",Mississippi,XL,Marrón,Verano,"4,7",Sí,Recogida en tienda,Sí,46,Tarjeta de crédito,Semanalmente
58,21,Masculino,Abrigo,Ropa de abrigo,"$64,00",West Virginia,M,Blanco,Verano,"4,4",Sí,Recogida en tienda,Sí,17,Tarjeta de débito,Quincenal
59,69,Masculino,Sudadera,Ropa,"$54,00",Missouri,M,Carbón,Verano,"4,2",Sí,Envío gratis,Sí,29,Venmo,Mensual
60,63,Masculino,Cinturón,Accesorios,"$79,00",Louisiana,L,Amarillo,Primavera,"4,6",Sí,Estándar,Sí,4,Tarjeta de débito,Semanalmente
61,50,Masculino,Jersey,Ropa,"$37,00",Idaho,L,Marrón,Verano,"4,0",Sí,Express,Sí,17,Dinero,Semanalmente
62,55,Masculino,Bufanda,Accesorios,"$68,00",Texas,M,Naranja,Invierno,"4,7",Sí,Recogida en tienda,Sí,21,Tarjeta de crédito,Trimestral
63,30,Masculino,Zapatillas,Calzado,"$21,00",Mississippi,S,Magenta,Primavera,"3,8",Sí,Envío gratis,Sí,31,Tarjeta de crédito,Quincenal
64,33,Masculino,Gafas de sol,Accesorios,"$79,00",Arizona,L,Lavanda,Invierno,"2,7",Sí,Envío en 2 días,Sí,43,Tarjeta de crédito,Semanalmente
65,65,Masculino,Botas,Calzado,"$83,00",Alabama,S,Verde,Otoño,"4,8",Sí,Estándar,Sí,18,Tarjeta de débito,Quincenal
66,65,Masculino,Mochila,Accesorios,"$36,00",New Jersey,M,Púrpura,Primavera,"4,8",Sí,Envío en 2 días,Sí,44,Venmo,Trimestral
67,31,Masculino,Blusa,Ropa,"$94,00",Pennsylvania,S,Magenta,Invierno,"4,7",Sí,Envío en 2 días,Sí,3,Venmo,Trimestral
68,45,Masculino,Abrigo,Ropa de abrigo,"$33,00",Connecticut,L,Gris,Invierno,"4,4",Sí,Recogida en tienda,Sí,49,Tarjeta de débito,Mensual
69,57,Masculino,Bolso,Accesorios,"$46,00",Utah,L,Plata,Verano,"3,9",Sí,Entrega al día siguiente,Sí,21,Dinero,Trimestral
70,48,Masculino,Cinturón,Accesorios,"$70,00",Tennessee,S,Cian,Verano,"4,4",Sí,Express,Sí,5,Dinero,Semanalmente
71,22,Masculino,Cinturón,Accesorios,"$29,00",Alabama,M,Magenta,Otoño,"4,2",Sí,Express,Sí,32,Tarjeta de débito,Trimestral
72,36,Masculino,Traje,Ropa,"$48,00",Virginia,L,Oro,Verano,"2,9",Sí,Express,Sí,34,Transferencia bancaria,Anualmente
73,18,Masculino,Traje,Ropa,"$26,00",Georgia,M,Aceituna,Invierno,"2,9",Sí,Recogida en tienda,Sí,21,Transferencia bancaria,Trimestral
74,48,Masculino,Pantalones,Ropa,"$85,00",Hawaii,M,Verde azulado,Primavera,"2,7",Sí,Envío gratis,Sí,43,Transferencia bancaria,Quincenal
75,49,Masculino,Guantes,Accesorios,"$58,00",Indiana,L,Violeta,Primavera,"4,5",Sí,Express,Sí,3,Dinero,Mensual
76,64,Masculino,Bufanda,Accesorios,"$85,00",Utah,M,Azul,Verano,"2,7",Sí,Envío gratis,Sí,21,Tarjeta de crédito,Anualmente
77,50,Masculino,Sombrero,Accesorios,"$43,00",Delaware,S,Verde azulado,Verano,"4,2",Sí,Envío gratis,Sí,32,Venmo,Mensual
78,22,Masculino,Traje,Ropa,"$53,00",Delaware,L,Oro,Verano,"3,3",Sí,Entrega al día siguiente,Sí,36,Tarjeta de débito,Quincenal
79,50,Masculino,Falda,Ropa,"$91,00",Nebraska,M,Granate,Primavera,"4,7",Sí,Envío gratis,Sí,50,Venmo,Quincenal
80,38,Masculino,Chaqueta,Ropa de abrigo,"$96,00",Iowa,M,Aceituna,Invierno,"2,6",Sí,Envío en 2 días,Sí,43,Transferencia bancaria,Trimestral
81,19,Masculino,Sandalias,Calzado,"$72,00",New York,XL,Azul,Verano,"3,3",Sí,Recogida en tienda,Sí,24,Tarjeta de crédito,Trimestral
82,67,Masculino,Zapatos,Calzado,"$96,00",Virginia,L,Granate,Verano,"2,6",Sí,Express,Sí,36,Tarjeta de crédito,Trimestral
83,19,Masculino,Pantalones,Ropa,"$28,00",Georgia,S,Aceituna,Primavera,"4,0",Sí,Envío en 2 días,Sí,21,Tarjeta de crédito,Trimestral
84,36,Masculino,Traje,Ropa,"$40,00",Texas,M,Turquesa,Verano,"4,1",Sí,Estándar,Sí,34,Transferencia bancaria,Semanalmente
85,52,Masculino,Abrigo,Ropa de abrigo,"$32,00",Arizona,S,Durazno,Primavera,"4,4",Sí,Estándar,Sí,42,Transferencia bancaria,Trimestral
86,53,Masculino,Gafas de sol,Accesorios,"$95,00",New Mexico,M,Carbón,Invierno,"4,5",Sí,Entrega al día siguiente,Sí,2,Tarjeta de débito,Quincenal
87,24,Masculino,Sudadera,Ropa,"$41,00",Nevada,L,Rosa,Primavera,"3,7",Sí,Envío en 2 días,Sí,47,Dinero,Quincenal
88,52,Masculino,Zapatos,Calzado,"$53,00",Ohio,M,Verde,Otoño,"3,7",Sí,Envío en 2 días,Sí,44,Tarjeta de débito,Quincenal
89,33,Masculino,Camiseta,Ropa,"$47,00",Wyoming,M,Naranja,Otoño,"3,5",Sí,Envío gratis,Sí,35,Tarjeta de crédito,Mensual
90,47,Masculino,Chaqueta,Ropa de abrigo,"$83,00",California,XL,Rosa,Otoño,"3,6",Sí,Entrega al día siguiente,Sí,15,Dinero,Trimestral
91,25,Masculino,Sombrero,Accesorios,"$48,00",South Carolina,L,Violeta,Verano,"2,9",Sí,Express,Sí,29,Tarjeta de crédito,Mensual
92,44,Masculino,Bufanda,Accesorios,"$99,00",South Carolina,S,Verde,Invierno,"4,6",Sí,Estándar,Sí,18,Tarjeta de crédito,Trimestral
93,61,Masculino,Chaqueta,Ropa de abrigo,"$87,00",Texas,M,Aceituna,Invierno,"4,4",Sí,Envío en 2 días,Sí,13,Venmo,Trimestral
94,37,Masculino,Jersey,Ropa,"$62,00",Florida,M,Púrpura,Otoño,"4,5",Sí,Estándar,Sí,46,Tarjeta de crédito,Semanalmente
95,58,Masculino,Falda,Ropa,"$76,00",Nevada,S,Plata,Primavera,"4,6",Sí,Envío gratis,Sí,28,Tarjeta de crédito,Semanalmente
96,37,Masculino,Zapatillas,Calzado,"$100,00",Missouri,L,Rosa,Otoño,"3,8",Sí,Envío gratis,Sí,48,PayPal,Mensual
97,32,Masculino,Guantes,Accesorios,"$73,00",Delaware,S,Oro,Primavera,"3,6",Sí,Express,Sí,43,Venmo,Trimestral
98,21,Masculino,Zapatos,Calzado,"$92,00",Virginia,M,Verde azulado,Invierno,"4,8",Sí,Recogida en tienda,Sí,37,Dinero,Anualmente
99,20,Masculino,Vaqueros,Ropa,"$67,00",New York,XL,Verde azulado,Primavera,"2,6",Sí,Entrega al día siguiente,Sí,20,Transferencia bancaria,Anualmente
100,26,Masculino,Sudadera,Ropa,"$40,00",Missouri,XL,Índigo,Verano,"3,7",Sí,Express,Sí,33,Tarjeta de débito,Trimestral
101,62,Masculino,Gafas de sol,Accesorios,"$98,00",South Dakota,M,Granate,Otoño,"2,7",Sí,Express,Sí,31,Dinero,Quincenal
102,27,Masculino,Abrigo,Ropa de abrigo,"$85,00",North Dakota,XL,Blanco,Primavera,"4,6",Sí,Express,Sí,50,Tarjeta de crédito,Quincenal
103,51,Masculino,Medias,Ropa,"$67,00",Oklahoma,L,Violeta,Invierno,"4,8",Sí,Entrega al día siguiente,Sí,35,Tarjeta de crédito,Trimestral
104,54,Masculino,Botas,Calzado,"$89,00",West Virginia,L,Rojo,Invierno,"4,0",Sí,Entrega al día siguiente,Sí,22,Venmo,Quincenal
105,55,Masculino,Gafas de sol,Accesorios,"$24,00",New Hampshire,L,Rosa,Primavera,"4,4",Sí,Envío en 2 días,Sí,1,PayPal,Mensual
106,69,Masculino,Mochila,Accesorios,"$96,00",New York,M,Carbón,Otoño,"3,6",Sí,Entrega al día siguiente,Sí,4,Transferencia bancaria,Anualmente
107,64,Masculino,Chaqueta,Ropa de abrigo,"$35,00",Minnesota,L,Blanco,Verano,"3,7",Sí,Estándar,Sí,31,Tarjeta de crédito,Mensual
108,28,Masculino,Zapatillas,Calzado,"$67,00",Maryland,L,Aceituna,Invierno,"3,1",Sí,Entrega al día siguiente,Sí,46,PayPal,Quincenal
109,70,Masculino,Medias,Ropa,"$79,00",Montana,L,Púrpura,Primavera,"3,4",Sí,Entrega al día siguiente,Sí,32,Transferencia bancaria,Quincenal
110,58,Masculino,Camiseta,Ropa,"$85,00",Alabama,M,Violeta,Primavera,"2,6",Sí,Entrega al día siguiente,Sí,43,Transferencia bancaria,Quincenal
111,56,Masculino,Mochila,Accesorios,"$26,00",New York,M,Negro,Verano,"4,0",Sí,Estándar,Sí,26,Venmo,Quincenal
112,26,Masculino,Cinturón,Accesorios,"$75,00",Massachusetts,L,Púrpura,Verano,"5,0",Sí,Envío gratis,Sí,9,Tarjeta de crédito,Anualmente
113,37,Masculino,Guantes,Accesorios,"$65,00",Florida,M,Rojo,Primavera,"4,3",Sí,Envío gratis,Sí,28,PayPal,Quincenal
114,44,Masculino,Sombrero,Accesorios,"$54,00",New Jersey,L,Granate,Invierno,"3,1",Sí,Entrega al día siguiente,Sí,20,PayPal,Trimestral
115,70,Masculino,Abrigo,Ropa de abrigo,"$95,00",Massachusetts,S,Azul,Verano,"3,7",Sí,Recogida en tienda,Sí,9,Dinero,Semanalmente
116,53,Masculino,Falda,Ropa,"$94,00",Wyoming,M,Gris,Primavera,"3,8",Sí,Estándar,Sí,48,Tarjeta de débito,Trimestral
117,55,Masculino,Zapatos,Calzado,"$86,00",Virginia,S,Azul,Primavera,"3,4",Sí,Envío gratis,Sí,12,Venmo,Anualmente
118,50,Masculino,Sandalias,Calzado,"$32,00",South Dakota,L,Amarillo,Verano,"4,6",Sí,Express,Sí,29,Dinero,Quincenal
119,50,Masculino,Jersey,Ropa,"$45,00",Kentucky,L,Naranja,Otoño,"4,8",Sí,Envío en 2 días,Sí,27,Dinero,Quincenal
120,38,Masculino,Abrigo,Ropa de abrigo,"$76,00",Wyoming,M,Naranja,Otoño,"4,3",Sí,Express,Sí,44,Dinero,Anualmente
121,64,Masculino,Sombrero,Accesorios,"$84,00",West Virginia,L,Rojo,Verano,"4,0",Sí,Express,Sí,32,Transferencia bancaria,Anualmente
122,19,Masculino,Bermudas,Ropa,"$72,00",Virginia,M,Aceituna,Invierno,"4,2",Sí,Estándar,Sí,11,Dinero,Quincenal
123,40,Masculino,Mochila,Accesorios,"$40,00",Washington,L,Marrón,Primavera,"4,8",Sí,Envío en 2 días,Sí,44,Dinero,Quincenal
124,57,Masculino,Jersey,Ropa,"$89,00",Louisiana,L,Marrón,Otoño,"3,1",Sí,Envío gratis,Sí,46,Dinero,Semanalmente
125,44,Masculino,Jersey,Ropa,"$86,00",Nevada,M,Gris,Primavera,"3,1",Sí,Entrega al día siguiente,Sí,50,PayPal,Anualmente
126,49,Masculino,Bermudas,Ropa,"$54,00",California,M,Índigo,Invierno,"3,6",Sí,Entrega al día siguiente,Sí,45,Venmo,Trimestral
127,43,Masculino,Bermudas,Ropa,"$36,00",Mississippi,L,Rosa,Primavera,"3,9",Sí,Recogida en tienda,Sí,48,Dinero,Trimestral
128,24,Masculino,Jersey,Ropa,"$89,00",Mississippi,M,Gris,Invierno,"4,8",Sí,Entrega al día siguiente,Sí,26,Tarjeta de crédito,Semanalmente
129,20,Masculino,Bufanda,Accesorios,"$32,00",California,M,Oro,Primavera,"4,7",Sí,Estándar,Sí,21,Tarjeta de crédito,Quincenal
130,24,Masculino,Traje,Ropa,"$67,00",Pennsylvania,XL,Aceituna,Verano,"4,2",Sí,Envío en 2 días,Sí,49,PayPal,Quincenal
131,44,Masculino,Bufanda,Accesorios,"$39,00",Kentucky,L,Violeta,Otoño,"3,7",Sí,Entrega al día siguiente,Sí,13,PayPal,Quincenal
132,28,Masculino,Falda,Ropa,"$29,00",Maine,L,Índigo,Verano,"3,9",Sí,Estándar,Sí,46,Tarjeta de crédito,Semanalmente
133,30,Masculino,Mochila,Accesorios,"$58,00",New Mexico,M,Naranja,Otoño,"4,7",Sí,Envío en 2 días,Sí,42,PayPal,Semanalmente
134,52,Masculino,Jersey,Ropa,"$65,00",Montana,M,Violeta,Invierno,"2,5",Sí,Entrega al día siguiente,Sí,25,Venmo,Anualmente
135,43,Masculino,Sombrero,Accesorios,"$94,00",Texas,L,Gris,Otoño,"4,9",Sí,Recogida en tienda,Sí,25,Dinero,Mensual
136,43,Masculino,Sandalias,Calzado,"$81,00",Kansas,M,Púrpura,Otoño,"4,1",Sí,Express,Sí,12,PayPal,Trimestral
137,39,Masculino,Blusa,Ropa,"$86,00",South Carolina,M,Blanco,Invierno,"3,3",Sí,Envío gratis,Sí,4,Tarjeta de débito,Trimestral
138,68,Masculino,Zapatillas,Calzado,"$43,00",Colorado,M,Turquesa,Primavera,"4,7",Sí,Envío gratis,Sí,38,PayPal,Semanalmente
139,68,Masculino,Falda,Ropa,"$29,00",Georgia,M,Granate,Invierno,"4,4",Sí,Recogida en tienda,Sí,42,Transferencia bancaria,Semanalmente
140,49,Masculino,Abrigo,Ropa de abrigo,"$95,00",Florida,M,Blanco,Otoño,"3,8",Sí,Recogida en tienda,Sí,30,Venmo,Anualmente
141,63,Masculino,Camisa,Ropa,"$28,00",North Carolina,L,Amarillo,Otoño,"3,9",Sí,Envío en 2 días,Sí,50,Tarjeta de crédito,Semanalmente
142,56,Masculino,Guantes,Accesorios,"$46,00",Virginia,M,Turquesa,Otoño,"4,9",Sí,Envío gratis,Sí,45,PayPal,Semanalmente
143,37,Masculino,Chaqueta,Ropa de abrigo,"$58,00",Nebraska,L,Violeta,Otoño,"3,1",Sí,Envío gratis,Sí,33,Tarjeta de crédito,Quincenal
144,30,Masculino,Abrigo,Ropa de abrigo,"$48,00",Missouri,M,Beige,Otoño,"2,7",Sí,Recogida en tienda,Sí,25,PayPal,Trimestral
145,19,Masculino,Zapatos,Calzado,"$43,00",New Jersey,M,Plata,Otoño,"3,2",Sí,Express,Sí,25,Dinero,Mensual
146,24,Masculino,Joyas,Accesorios,"$95,00",Missouri,M,Verde azulado,Otoño,"4,5",Sí,Estándar,Sí,44,Tarjeta de débito,Trimestral
147,52,Masculino,Falda,Ropa,"$30,00",Colorado,S,Negro,Otoño,"4,0",Sí,Estándar,Sí,21,Venmo,Quincenal
148,63,Masculino,Zapatos,Calzado,"$64,00",Idaho,M,Púrpura,Verano,"3,5",Sí,Envío en 2 días,Sí,31,Transferencia bancaria,Quincenal
149,37,Masculino,Guantes,Accesorios,"$90,00",Wyoming,M,Gris,Otoño,"2,6",Sí,Recogida en tienda,Sí,47,Tarjeta de débito,Anualmente
150,38,Masculino,Pantalones,Ropa,"$76,00",Delaware,M,Blanco,Verano,"3,2",Sí,Envío gratis,Sí,14,PayPal,Mensual
151,35,Masculino,Botas,Calzado,"$96,00",California,L,Cian,Otoño,"4,9",Sí,Estándar,Sí,17,Tarjeta de débito,Trimestral
152,28,Masculino,Gafas de sol,Accesorios,"$47,00",North Dakota,L,Turquesa,Otoño,"4,5",Sí,Entrega al día siguiente,Sí,3,Venmo,Anualmente
153,30,Masculino,Camisa,Ropa,"$85,00",South Carolina,S,Marrón,Verano,"4,3",Sí,Express,Sí,42,Venmo,Anualmente
154,69,Masculino,Sudadera,Ropa,"$55,00",North Carolina,M,Granate,Invierno,"3,2",Sí,Estándar,Sí,22,Tarjeta de débito,Anualmente
155,41,Masculino,Traje,Ropa,"$98,00",Oklahoma,M,Carbón,Otoño,"3,6",Sí,Entrega al día siguiente,Sí,21,Venmo,Trimestral
156,63,Masculino,Medias,Ropa,"$77,00",Maine,S,Aceituna,Primavera,"4,3",Sí,Envío gratis,Sí,21,Transferencia bancaria,Trimestral
157,35,Masculino,Bermudas,Ropa,"$26,00",Missouri,M,Lavanda,Otoño,"4,0",Sí,Estándar,Sí,40,Tarjeta de débito,Anualmente
158,36,Masculino,Sombrero,Accesorios,"$68,00",Vermont,S,Amarillo,Otoño,"3,0",Sí,Entrega al día siguiente,Sí,1,Transferencia bancaria,Quincenal
159,25,Masculino,Camisa,Ropa,"$73,00",Connecticut,XL,Verde azulado,Otoño,"4,1",Sí,Estándar,Sí,50,Transferencia bancaria,Mensual
160,58,Masculino,Guantes,Accesorios,"$27,00",New Hampshire,M,Carbón,Otoño,"3,8",Sí,Recogida en tienda,Sí,39,Transferencia bancaria,Trimestral
161,27,Masculino,Guantes,Accesorios,"$23,00",Texas,M,Naranja,Verano,"4,6",Sí,Envío gratis,Sí,34,Venmo,Mensual
162,65,Masculino,Mochila,Accesorios,"$49,00",North Dakota,M,Aceituna,Otoño,"3,0",Sí,Express,Sí,29,Venmo,Quincenal
163,54,Masculino,Gafas de sol,Accesorios,"$74,00",California,M,Turquesa,Verano,"3,0",Sí,Recogida en tienda,Sí,31,PayPal,Quincenal
164,54,Masculino,Falda,Ropa,"$67,00",Virginia,M,Púrpura,Verano,"3,4",Sí,Estándar,Sí,8,Tarjeta de débito,Semanalmente
165,59,Masculino,Bolso,Accesorios,"$65,00",Delaware,S,Púrpura,Primavera,"2,6",Sí,Envío gratis,Sí,5,Tarjeta de crédito,Quincenal
166,42,Masculino,Bolso,Accesorios,"$60,00",Kentucky,S,Amarillo,Invierno,"2,8",Sí,Recogida en tienda,Sí,7,Dinero,Mensual
167,46,Masculino,Zapatillas,Calzado,"$31,00",Delaware,XL,Índigo,Otoño,"4,0",Sí,Recogida en tienda,Sí,30,Dinero,Mensual
168,33,Masculino,Guantes,Accesorios,"$27,00",Arkansas,M,Verde,Otoño,"4,0",Sí,Express,Sí,14,Tarjeta de crédito,Trimestral
169,34,Masculino,Zapatos,Calzado,"$80,00",Louisiana,M,Magenta,Verano,"3,0",Sí,Express,Sí,5,Dinero,Quincenal
170,27,Masculino,Chaqueta,Ropa de abrigo,"$30,00",Nevada,S,Oro,Verano,"3,3",Sí,Estándar,Sí,3,PayPal,Trimestral
171,52,Masculino,Camisa,Ropa,"$25,00",Wyoming,M,Granate,Otoño,"2,6",Sí,Recogida en tienda,Sí,46,Venmo,Quincenal
172,29,Masculino,Bermudas,Ropa,"$35,00",Virginia,M,Azul,Verano,"3,6",Sí,Recogida en tienda,Sí,4,Tarjeta de crédito,Semanalmente
